pair_id,similarity_type,candidate_id,job_id,candidate_title,job_title,candidate_skills,job_requirements,predicted_similarity,human_label
1,high,34865,4545,Chuyên Viên Bảo Trì,"Chuyên Viên Phát Triển Kênh Bán Hàng Đặc Biệt (Special Sales_B2B, Horeca)","['bảo trì, Sửa chữa máy bay (a&p license)', 'kiểm tra hệ thống điện/cơ khí hàng không', 'đọc hiểu tài liệu kỹ thuật (tiếng anh)', 'tuân thủ quy trình an toàn', 'làm việc độc lập và nhóm', 'giải quyết sự cố']","- 03 Nam, tốt nghiệp Đại học các chuyên ngành liên quan- Kinh nghiệm 1-2 năm về mảng xây dựng hệ thống bán hàng hoặc phát triển thị trường, kênh bán hàng mới (Horeca, B2B, cantin,KCN,...);. - Hiểu biết về đặc điểm thị trường, vùng miền quản lý. - Hiểu biết tình hình hoạt động của các công ty tiêu dùng nhanh, khả năng nắm bắt được xu hướng thay đổi thị trường tiêu dùng. - Khả năng sử dụng các phần mềm văn phòng hỗ trợ cho công việc. - Chủ động trong công việc, có tính kiến nhẫn. - Khả năng giao tiếp & diễn đạt tốt trước đám đông. - Khả năng thương lượng & giải quyết ấn đề tốt. - Có thế làm việc độc lâp & làm việc nhóm, có tinh thần hợp tác, chia sẻ",0.84,
2,medium,34865,5038,Chuyên Viên Bảo Trì,"Nhân Viên Hỗ Trợ Chăm Sóc Khách Hàng Shopee (Lương Từ 7 - 9 Triệu, Kinh Nghiệm 3 Tháng, Làm Giờ Hành Chính, Nhận Việc Ngay)","['bảo trì, Sửa chữa máy bay (a&p license)', 'kiểm tra hệ thống điện/cơ khí hàng không', 'đọc hiểu tài liệu kỹ thuật (tiếng anh)', 'tuân thủ quy trình an toàn', 'làm việc độc lập và nhóm', 'giải quyết sự cố']","Bắt buộc:- Nam/nữ tốt nghiệp từ Trung cấp, tuổi không quá 30.- Ứng viên có kinh nghiệm chăm sóc khách hàng mảng call center từ 03 tháng trở lên.Ưu tiên:- Ứng viên làm việc Lễ/Tết và tăng ca theo điều động của công ty (không thường xuyên, không bắt buộc).- Có mong muốn tìm việc làm ổn định và phát triển bản thân.- Chiu khó, tư duy tích cực.- Không vướng bận việc học, có thể làm việc linh hoạt, sắp xếp theo phân công quản lý. Khác:- Khả năng giao tiếp, giải quyết khiếu nại tốt, giao tiếp thân thiện, có tinh thần cầu tiến.- Giọng nói dễ nghe, không quá nặng vùng miền.",0.723,
3,random,34865,6137,Chuyên Viên Bảo Trì,Sales Manager,"['bảo trì, Sửa chữa máy bay (a&p license)', 'kiểm tra hệ thống điện/cơ khí hàng không', 'đọc hiểu tài liệu kỹ thuật (tiếng anh)', 'tuân thủ quy trình an toàn', 'làm việc độc lập và nhóm', 'giải quyết sự cố']","Tốt nghiệp đại học chuyên ngành Quản lý kinh doanh; Tiếp thị hoặc một lĩnh vực liên quan;- Có ít nhất 3-5 năm kinh nghiệm trong lĩnh vực Marketing cao cấp, chiến lược Bán hàng, phát triển kinh doanh.- Kỹ năng: Giải quyết vấn đề và phân tích, thuyết trình, lập kế hoạch và tổ chức, giao tiếp.- Tính cách: Trung thực, tin cậy, cẩn thận, nhiệt tình.- Tiếng Anh: Các kỹ năng nghe, nói, đọc, viết thành thạo.",0.315,
4,medium,41454,7014,Nhân Viên Vận Hành Máy,Kỹ Sư Giám Sát Công Trình,"['tuân thủ quy trình', 'làm việc nhóm', 'khả năng học hỏi nhanh', 'đọc hiểu tài liệu kỹ thuật cơ bản', 'chú ý chi tiết', 'giải quyết vấn đề cơ bản']","- Độ tuổi <=35 tuổi; Tốt nghiệp Đại học, Cao đẳng chuyên ngành kiến trúc, xây dựng hoặc các chuyên ngành khác liên quan.- Có kinh nghiệm làm giám sát các công trình xây dựng dân dụng- Hiểu biết về quy trình thi công và nghiệm thu các công tác hoàn thiện (xây, trát, ốp, lát, sơn, bả...)- Kỹ năng làm việc độc lập và làm việc nhóm; xử lý các công việc phát sinh- Thành thạo các phần mềm vi tính chuyên môn và văn phòng: Excel, Word, AutoCad...- Có thể đi công tác các tỉnh ngoài Hà Nội",0.743,
5,random,41454,1469,Nhân Viên Vận Hành Máy,Kỹ Sư Cầu Nối (Ngôn Ngữ Nhật),"['tuân thủ quy trình', 'làm việc nhóm', 'khả năng học hỏi nhanh', 'đọc hiểu tài liệu kỹ thuật cơ bản', 'chú ý chi tiết', 'giải quyết vấn đề cơ bản']","Có trên 3 năm kinh nghiệm làm quản lý dự án phần mềm ( Middle - Senior)Phải giao tiếp được với khách hàng bằng tiếng Nhật (tương đương level N2, hoặc N5 mà kaiwa như N2 cũng không vấn đề gì)Có tư duy về các hệ thống phần mềm, có kinh nghiệm làm thiết kế hoặc requirement phần mềm là lợi thế lớnThành thạo các tool về quản lý src code như git, SVN; các tool về quản lý công việc như Redmine, Zira, Backlog, OdooCó tri thức, hiểu biết một trong số các nghiệp vụ như: EC, ERP, CRM, MKT, nhân sự, y tế, giao thông..",0.184,
6,high,39151,3993,Hành Chính Nhân Sự,Nhân Viên Lễ Tân Hành Chính (Đi Làm Luôn),"['quản lý hồ sơ nhân sự', 'tuyển dụng cơ bản', 'tổ chức sự kiện nội bộ', 'văn thư lưu trữ', 'thành thạo ms office (word, Excel, Powerpoint)', 'kỹ năng giao tiếp và giải quyết vấn đề', 'cẩn thận, Tỉ mỉ']","1. Tốt nghiệp Cao đẳng trở lên, chuyên ngành Hành chính/ Văn thư/ Quản trị2. Kinh nghiệm: ≥01 năm làm việc ở vị trí tương đương3. Tin học văn phòng thành thạo (word, excel, powerpoint)4. Ngoại hình ưa nhìn, cẩn thận, trung thực, nhanh nhẹn, có tinh thần trách nhiệm cao với công việc, khả năng làm việc độc lập, chịu được áp lực cao, có nguyện vọng làm việc lâu dài.",0.84,
7,medium,39151,4980,Hành Chính Nhân Sự,"Giám Đốc Dự Án Ngành Xây Dựng (Thu Nhập Lên Đến 30 Triệu, Tại Hồ Chí Minh)","['quản lý hồ sơ nhân sự', 'tuyển dụng cơ bản', 'tổ chức sự kiện nội bộ', 'văn thư lưu trữ', 'thành thạo ms office (word, Excel, Powerpoint)', 'kỹ năng giao tiếp và giải quyết vấn đề', 'cẩn thận, Tỉ mỉ']",":- Tốt nghiệp Đại học chuyên ngành xây dựng- Có ít nhất 3 năm kinh nghiệm ở các vị trí tương đương (Giám đốc dự án xây dựng; Chỉ huy trưởng);- Có kinh nghiệm xây dựng nhà cao tầng Yêu cầu khác: -Giới tính: Nam - Ưu tiên độ tuổi từ : 35 – 50 - Am hiểu thiết kế, kết cấu công trình. - Thành thạo phần mềm chuyên ngành và tin học văn phòng. - Có kỹ năng quản lý, tổ chức lãnh đạo tốt. - Chịu được áp lực cao trong công việc, có thể đi công tác khi yêu cầu. - Thực hiện các nhiệm vụ khác liên quan đến chuyên môn theo chức năng và yêu cầu của Ban Giám Đốc. - Tiếng Anh giao tiếp tốt - Có tinh thần trách nhiệm cao, chăm chỉ. Ưu tiên có tố chất xử lý tình huống, đam mê công việc, cầu tiến, ham học hỏi và muốn gắn bó lâu dài với công ty.",0.632,
8,random,39151,1554,Hành Chính Nhân Sự,Trưởng Phòng Mkt,"['quản lý hồ sơ nhân sự', 'tuyển dụng cơ bản', 'tổ chức sự kiện nội bộ', 'văn thư lưu trữ', 'thành thạo ms office (word, Excel, Powerpoint)', 'kỹ năng giao tiếp và giải quyết vấn đề', 'cẩn thận, Tỉ mỉ']","- Kinh nghiệm 2+ năm về digital Marketing, có kinh nghiệm triển khai về Facebook, Tiktok, Youtube là 1 lợi thế- Đã từng lead team nhỏ từ 3 nhân sự trở lên, tốt nghiệp tối thiểu trung cấp trở lên.- Có khả năng xây dựng, lập kế hoạch marketing cho 1 bộ phận.- Có khả năng đào tạo dẫn dắt đội ngũ là 1 lợi thế.",0.235,
9,random,32667,7347,Kế Toán Bán Hàng,Nhân Viên Tư Vấn Và Chăm Sóc Khách Hàng (Thu Nhập Từ 12 - 15 Triệu),"['kế toán doanh thu', 'quản lý công nợ khách hàng', 'lập báo cáo bán hàng', 'sử dụng phần mềm sap erp, Misa', 'kỹ năng đối soát', 'thành thạo microsoft excel']","•Nữ. •Từ 20 – 35 tuổi. •Ngoại hình sáng. •Sức khỏe tốt. •Tốt nghiệp Cao Đẳng trở lên.. •Chưa có kinh nghiệm về trang sức cao cấp sẽ được đào tạo. •Giao tiếp tiếng Anh cơ bản. •Có trách nhiệm với công việc được giao. Vui vẻ, hòa đồng. •Kỹ năng giao tiếp tốt, kỹ năng thuyết phục tốt, xử lý tình huống hội thoại linh hoạt. •Có kỹ năng làm việc độc lập và theo nhóm, có tinh thần trách nhiệm và gắn bó với công việc;. •Biết sử dụng vi tính văn phòng (Word, Excel). •Làm ca cố định: 8h30 - 17h30 hoặc 13h00 - 20h30. (nghỉ Chủ Nhật tùy ca trực để thay đổi ngày nghỉ trong tuần). Tuần nghỉ 1 ngày, tháng nghỉ 4 ngày.",0.142,
10,medium,21342,8396,"Cộng Tác Viên, Nhân Viên Bán Thời Gian",Kế Toán Kho,"['kỹ năng viết lách (tiếng việt)', 'sử dụng mạng xã hội', 'tin học văn phòng', 'tìm kiếm và tổng hợp thông tin', 'tư duy sáng tạo']","- Tốt nghiệp Cao Đẳng hoặc Trung cấp chuyển ngành kế toán/ kho vận- Ưu tiên ứng viên có kinh nghiệm về ngành kế toán, kế toán kho hoặc thủ kho- Sử dụng thành thạo tin học văn phòng- Ưu tiên ứng viên biết sử dụng phần mềm kế toán Misa",0.642,
